,Mineral,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025
0,Bauxite,28281561.34,262230739.7,272416223.3,228446523.7,204143304.0,86434099.0,110223140.0,116421874.0,172325182.8,186290959.0,221516207.0
1,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44000000.0,296124000.0
3,Chromite,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Coal,1602731.0,25404581.0,56516659.0,142605673.0,135891110.6,119310475.0,58012939.0,1578698455.0,1018204625.0,810695381.0,801948489.0
6,Dolomite,11100.0,17264625.0,34353150.0,39600144.0,33810577.0,36681500.0,49835636.0,70055286.0,73298610.0,116249907.8,120569045.0
9,Fluorite,0.0,103680.0,1935150.0,490506.0,259625.0,1577551.0,698889.0,960630.0,431317.0,792000.0,396000.0
10,Iron Ore,1588934.0,177253821.9,199580366.0,185119687.0,247531998.0,213901163.7,290074810.5,1031615649.0,5520903225.0,7443802146.0,9718395899.0
11,Kynite,3554.0,124954.0,835515.0,3114149.0,2056981.0,993959.0,582495.0,406245.0,165264.0,757241.0,902605.0
12,Laterite,0.0,9686952.0,5441681.0,10900963.0,147406.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Lateritic/Iron Ore,188005.0,5793223.0,7064525.0,8123700.0,0.0,0.0,0.0,0.0,120000.0,0.0,100000.0
14,Limestone,424599497.0,846276031.0,995275858.0,1301690489.0,1176066417.0,1547094095.0,1383107244.0,1828256176.0,1451535306.0,1606361895.0,1695853388.0
16,Manganese,5981126.0,76645521.49,296202334.0,304341282.6,277310819.4,315628659.2,341392218.0,579711839.0,526587879.5,114884169.5,421514668.0
17,Pyrophyllite,0.0,35300.0,79200.0,60000.0,26542.0,36627.0,17600.0,73060.0,8800.0,4400.0,18050.0
18,Quartz,0.0,25500.0,0.0,0.0,0.0,35000.0,400000.0,0.0,0.0,0.0,0.0
19,Quartz,250200.0,2471581.0,3373010.0,1747436.0,1437818.0,446789.0,216000.0,0.0,0.0,0.0,0.0
21,Sand Stowing,63090.0,63090.0,63090.0,63090.0,63090.0,63270.0,63270.0,816030.0,464850.0,369000.0,479700.0
22,Shale,0.0,5577122.0,0.0,0.0,482328.0,3648260.0,4016872.0,1363015.0,0.0,0.0,0.0
24,Silliminite,100700.0,87100.0,546777.0,508942.0,2025069.0,2104696.0,1768325.0,675839.0,72000.0,0.0,0.0
25,Waste (Minor),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55984952.0,140408352.0
26,Waste Low Grade Quartzite (Minor),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498000.0,444000.0
